Параметр ,Значение 
Питание ,
Напряжение питания ,9 – 28 В постоянного тока 
Потребляемая мощность ,"В режиме холостого хода (со всеми выключенными реле) — 0.1 Вт
Со всеми включенными реле — 1 Вт
Пиковое значение — до 4 Вт в течение 20 мс"
Выходы ,
Количество выходов ,6
Тип выходов ,Контакты механического реле 
Конфигурация контактов ,"Двухпозиционные, нормально открытые "
Конфигурация выходов ,"Две группы по 3 выхода, общий провод в каждой группе "
"Максимальное коммутируемое напряжение, AC ",250 В 
"Максимальное коммутируемое напряжение, DC ",30 В 
"Номинальный коммутируемый ток на каждый канал, 230 В (AC) ",10 А 
"Максимальный коммутируемый ток на каждый канал, 230 В (AC) ",16 А 
"Максимальный пусковой ток (в течение 20 мс), 230 В (AC) ",80 А 
"Суммарный номинальный коммутируемый ток на группу из трёх каналов, 230 В (AC) ",20 А 
Сопротивление контактов ,< 100 мОм 
Напряжение изоляции между контроллером и выходом ,1500 В (среднеквадратичное значение) 
Срок жизни ,100 000 переключений для нагрузки 10 А / 230 В переменного тока 
Подробные характеристики ,Hongfa HF32FV-16 
Входы ,
Количество входов (Inputs 0—6) ,7 (6+1) Вход 0 отключает одновременно все реле (можно настроить по-другому) 
Тип входов ,"«Сухой контакт», групповая изоляция 
Напряжение на входе ~12 В. Ток при замыкании входа ~2 мА "
Допустимое напряжение ,от -20 В до +40 В 
Частота и длительность импульсов ,"До 10 Гц (T > 50 мс) - по умолчанию
До 1 кГц при уменьшении времени защиты от дребезга
До 5 кГц (с версии прошивки 1.15.0)
(смотри таблицу ревизий) "
Функции ,"Входы общего назначения
Счет сигналов
Измерение частоты (с версии прошивки 1.15.0)
Прямое управление каналами реле
Одновременное отключение всей нагрузки
Гибкая настройка взаимодействия с реле
с помощью mapping-матрицы (с версии прошивки 1.9.0) "
Индикация ,
Индикация питания и обмена данными ,Зеленый светодиод Status (под верхней этикеткой) 
Индикация состояния каналов реле ,"Оранжевые светодиоды 1, 2.. (под верхней этикеткой) "
Управление ,
Интерфейс управления ,RS-485 
Изоляция интерфейса ,Неизолированный 
Протокол обмена данными ,"Modbus RTU, адрес задается программно, заводские настройки указаны на наклейке "
Параметры интерфейса RS-485 ,"Задаются программно, по умолчанию: 
скорость — 9600 бит/с; данные — 8 бит; бит чётности — нет (N); стоп-биты — 2 "
Готовность к работе после подачи питания ,~2 c 
Условия эксплуатации ,
Температура воздуха ,От −40 до +80 °С 
Относительная влажность ,"До 95 %, без конденсации влаги "
Климатическое исполнение по ГОСТ 15150-69 ,O2.1* 
Гарантийный срок,2 года 
Срок службы,5 лет 
Клеммники и сечение проводов ,
Рекомендуемое сечение провода с НШВИ,"для входов управления: 0.35 – 1 мм2 — одинарные, 0.35 – 0.5 мм2 — сдвоенные провода, 
для силовых входов: до 2.5 мм2 — одинарные, до 1.5 мм2 — сдвоенные провода "
Длина стандартной втулки НШВИ,8 мм 
Момент затяжки винтов,"для входов управления: 0.2 Н∙м, для силовых выходов: 0.5 Н∙м "
Габариты ,
"Ширина, DIN-юнитов",3
Габаритные размеры (Д x Ш x В),53 x 90 x 58 мм 
Масса (с коробкой),155 г 
